EMBL_Chemcore_ID,Descriptive name,Pesticide type,CAS-Number,SMILES,Monoisotopic mass,InChI,IUPAC-Name,Supplier,Supplier Object Id,CHEMBL_ID,ChEBI
160174,Pyrazophos,Fungicide,13457-18-6,CCOC(=O)c1cn2nc(OP(=S)(OCC)OCC)cc2nc1C,"3,730,861",JOOMJVFZQRQWKR-UHFFFAOYSA-N,"Ethyl 2-[(diethoxyphosphorothioyl)oxy]-5-methylpyrazolo[1,5-a]pyrimidine-6-carboxylate",SIGMA-ALDRICH,45648-250MG,CHEMBL1537719,CHEBI:81942
166126,8-Hydroxyquinoline,Fungicide,148-24-3,Oc1cccc2cccnc12,"1,450,528",MCJGNVYPOGVAJF-UHFFFAOYSA-N,Quinolin-8-ol,SIGMA-ALDRICH,36524-250MG,CHEMBL310555,CHEBI:48981
166126,8-Hydroxyquinoline,Fungicide,148-24-3,Oc1cccc2cccnc12,"1,450,528",MCJGNVYPOGVAJF-UHFFFAOYSA-N,Quinolin-8-ol,SIGMA-ALDRICH,36524-250MG,CHEMBL310555,CHEBI:48981
177033,Daminozide,Plant growth regulator,1596-84-5,CN(C)NC(=O)CCC(O)=O,"1,600,848",NOQGZXFMHARMLW-UHFFFAOYSA-N,"4-(2,2-Dimethylhydrazinyl)-4-oxobutanoic acid",SIGMA-ALDRICH,45418-250MG,CHEMBL2164243,CHEBI:4312
186185,Indole-3-acetic acid,Plant growth regulator,87-51-4,OC(=O)Cc1c[nH]c2ccccc12,"1,750,633",SEOVTRFCIGRIMH-UHFFFAOYSA-N,(1H-Indol-3-yl)acetic acid,SIGMA-ALDRICH,45533-250MG,CHEMBL82411,CHEBI:30854
251026,Thiram,Fungicide,137-26-8,CN(C)C(=S)SSC(=S)N(C)C,"2,399,883",KUAZQDVKQLNFPE-UHFFFAOYSA-N,-,SIGMA-ALDRICH,45689-250MG,CHEMBL120563,CHEBI:9495
313377,Cloxyfonac,Plant growth regulator,6386-63-6,OCc1cc(Cl)ccc1OCC(O)=O,"2,160,189",ZJRUTGDCLVIVRD-UHFFFAOYSA-N,[4-Chloro-2-(hydroxymethyl)phenoxy]acetic acid,SIGMA-ALDRICH,37096-25MG,CHEMBL1479569,NA
420314,Niclosamide monohydrate,Molluscicide,73360-56-2,0,"3,269,939",ZBXRPLQCPHTHLM-UHFFFAOYSA-N,5-Chloro-N-(2-chloro-4-nitrophenyl)-2-hydroxybenzamide--water (1/1),SIGMA-ALDRICH,36177-100MG,NA,NA
420343,N-Benzyladenine,Plant growth regulator,1214-39-7,C(Nc1ncnc2nc[nH]c12)c3ccccc3,"2,251,014",NWBJYWHLCVSVIJ-UHFFFAOYSA-N,N-Benzyl-1H-purin-6-amine,SIGMA-ALDRICH,67619-100MG,CHEMBL228862,CHEBI:29022
420351,Sulfathiazole,Chemotherapeutics,72-14-0,Nc1ccc(cc1)S(=O)(=O)Nc2nccs2,"2,550,136",JNMRHUJNCSQMMB-UHFFFAOYSA-N,"4-Amino-N-(1,3-thiazol-2-yl)benzene-1-sulfonamide",SIGMA-ALDRICH,46902-250MG-R,CHEMBL437,CHEBI:9337
