INCHIKEY,name,CHEMBL_ID,ChEBI,Pesticide type,target_count,targets,DTXSID
JOOMJVFZQRQWKR-UHFFFAOYSA-N,Pyrazophos,CHEMBL1537719,CHEBI:81942,Fungicide,,,
MCJGNVYPOGVAJF-UHFFFAOYSA-N,8-Hydroxyquinoline,CHEMBL310555,CHEBI:48981,Fungicide,,,
MCJGNVYPOGVAJF-UHFFFAOYSA-N,8-Hydroxyquinoline,CHEMBL310555,CHEBI:48981,Fungicide,,,
NOQGZXFMHARMLW-UHFFFAOYSA-N,Daminozide,CHEMBL2164243,CHEBI:4312,Plant growth regulator,,,
SEOVTRFCIGRIMH-UHFFFAOYSA-N,Indole-3-acetic acid,CHEMBL82411,CHEBI:30854,Plant growth regulator,,,
KUAZQDVKQLNFPE-UHFFFAOYSA-N,Thiram,CHEMBL120563,CHEBI:9495,Fungicide,,,
ZJRUTGDCLVIVRD-UHFFFAOYSA-N,Cloxyfonac,CHEMBL1479569,,Plant growth regulator,,,
,Niclosamide monohydrate,,,Molluscicide,,,
,Tiadinil,CHEMBL1543783,CHEBI:81825,Fungicide,,,
,Pymetrozin Metabolite CGA313124,,,Insecticide,,,
,Spinosad,CHEMBL1874717,,,,,
,Ametoctradin hydrochloride Metabolite M6,,,Fungicide,,,
,Ametoctradin hydrochloride Metabolite M6,,,Fungicide,,,
,"2?-[(4,6-Dimethoxy-1,3,5-triazin-2-yl)carbonyl]-1,1,6?-trifluoro-N-methylmethanesulfonanilide",,,Herbicide,,,
,Trifloxystrobin acid,,,Fungicide,,,
,"1,3,5-Triazin-2-amine, 4-methoxy-6-(trifluoromethyl)-",,,Herbicide,,,
,alpha-Cyhalothrin,CHEMBL2105498,,Insecticide,,,
,4-[(4-Cyclopropyl-6-methyl-2-pyrimidinyl)amino]phenol,,,Fungicide,,,
,Dichlorprop-isooctyl,,,Herbicide,,,
,(2-Carboxyethyl)dimethylsulfonium Chloride,,,,,,
,"2-Amino-3-(1H-1,2,4-triazol-1-yl)propano",,,,,,
,DIMOXYSTROBIN METABOLITE 505M09,,,Fungicide,,,
,"4-(7,9-Dioxohexahydro-7H-pyrazolo[1,2-d][1,4,5]oxadiazepin-8-yl)-3,5-diethylbenzoic acid",,,Herbicide,,,
,C12-14-Alkyl(ethylbenzyl)dimethylammonium chlorides,,,,,,
,Diquat metabolite Dipyridone,,,Herbicide,,,
