INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,SMILES
DTXSID7032553,DSSTox_Substance_Id,DTXSID7032553,Flumetralin,CCN(CC1=C(Cl)C=CC=C1F)C1=C(C=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O
DTXSID8046662,DSSTox_Substance_Id,DTXSID8046662,Sarpogrelate hydrochloride,Cl.COC1=CC(CCC2=CC=CC=C2OCC(CN(C)C)OC(=O)CCC(O)=O)=CC=C1
DTXSID8034823,DSSTox_Substance_Id,DTXSID8034823,Pinoxaden,CCC1=CC(C)=CC(CC)=C1C1=C(OC(=O)C(C)(C)C)N2CCOCCN2C1=O
DTXSID20173700,DSSTox_Substance_Id,DTXSID20173700,O(6)-Benzylguanine,NC1=NC2=C(NC=N2)C(OCC2=CC=CC=C2)=N1
DTXSID3023396,DSSTox_Substance_Id,DTXSID3023396,Orphenadrine,CN(C)CCOC(C1=CC=CC=C1)C1=C(C)C=CC=C1
DTXSID20353722,DSSTox_Substance_Id,DTXSID20353722,"5-(2-methoxyphenyl)-1,3,4-oxadiazole-2-thiol",COC1=CC=CC=C1C1=NNC(=S)O1
DTXSID70350468,DSSTox_Substance_Id,DTXSID70350468,F3096-1642,CC1=CC=C(C=C1)C(=O)NC1=CC=C(C=C1)N1CCOCC1
DTXSID10295602,DSSTox_Substance_Id,DTXSID10295602,phenyl 4-chloro-3-nitrobenzenesulfonate,[O-][N+](=O)C1=C(Cl)C=CC(=C1)S(=O)(=O)OC1=CC=CC=C1
DTXSID2075261,DSSTox_Substance_Id,DTXSID2075261,"Phenol, 2,3-dinitro-",OC1=CC=CC(=C1[N+]([O-])=O)[N+]([O-])=O
DTXSID70332749,DSSTox_Substance_Id,DTXSID70332749,NSC637578,N\C(=N/C1=NC(=CC2=CC=CC=C12)C1=CC=CC=N1)C1=CC=CC=N1
DTXSID80291176,DSSTox_Substance_Id,DTXSID80291176,NSC-73613,[O-][N+](=O)C1=CC=CC(=C1)C1=CC(=O)C2=CC=CC=C2O1
DTXSID20582398,DSSTox_Substance_Id,DTXSID20582398,"2-(1-Benzyl-1H-1,2,3-triazol-4-yl)-N-methyladenosine",CNC1=NC(=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O)C1=CN(CC2=CC=CC=C2)N=N1
DTXSID0026204,DSSTox_Substance_Id,DTXSID0026204,"2,4,6-Trichloronitrobenzene",[O-][N+](=O)C1=C(Cl)C=C(Cl)C=C1Cl
DTXSID00219332,DSSTox_Substance_Id,DTXSID00219332,"2-Nitronaphtho(2,1-b)furan",[O-][N+](=O)C1=CC2=C(O1)C=CC1=CC=CC=C21
DTXSID50277886,DSSTox_Substance_Id,DTXSID50277886,NSC4623,OC(=O)C1=C(N=C(N1)C1=CC=CC=C1)C(O)=O
DTXSID90382802,DSSTox_Substance_Id,DTXSID90382802,AG-690/08785039,COC1=C(N=C(C(NC2=CC=C(C)C=C2)=C1)[N+]([O-])=O)[N+]([O-])=O
DTXSID70367470,DSSTox_Substance_Id,DTXSID70367470,4-prop-2-enoxy-N-pyridin-2-ylbenzamide,C=CCOC1=CC=C(C=C1)C(=O)NC1=CC=CC=N1
DTXSID10228278,DSSTox_Substance_Id,DTXSID10228278,"Benzamidine, p-amino-, monohydrochloride",Cl.NC(=N)C1=CC=C(N)C=C1
DTXSID20179181,DSSTox_Substance_Id,DTXSID20179181,"Benzimidazole, 2-tert-butyl-",CC(C)(C)C1=NC2=CC=CC=C2N1
DTXSID80379241,DSSTox_Substance_Id,DTXSID80379241,"Ethyl 7-amino-2-(methylsulfanyl)[1,2,4]triazolo[1,5-a]pyrimidine-6-carboxylate",CCOC(=O)C1=C(N)N2N=C(SC)N=C2N=C1
DTXSID7027540,DSSTox_Substance_Id,DTXSID7027540,N-Butylbenzenesulfonamide,CCCCNS(=O)(=O)C1=CC=CC=C1
DTXSID70297723,DSSTox_Substance_Id,DTXSID70297723,diethyl 2-(2-naphthylamino)malonate,CCOC(=O)C(NC1=CC2=CC=CC=C2C=C1)C(=O)OCC
DTXSID6047446,DSSTox_Substance_Id,DTXSID6047446,Fipexide hydrochloride,Cl.ClC1=CC=C(OCC(=O)N2CCN(CC3=CC4=C(OCO4)C=C3)CC2)C=C1
DTXSID90292856,DSSTox_Substance_Id,DTXSID90292856,NSC86100,CC1=C2CCN=CC2=CC2=C1NC1=CC=CC=C21
DTXSID7049136,DSSTox_Substance_Id,DTXSID7049136,Beraprost,CC#CCC(C)[C@H](O)\C=C\[C@H]1[C@H](O)C[C@@H]2OC3=C(CCCC(O)=O)C=CC=C3[C@H]12
DTXSID50287501,DSSTox_Substance_Id,DTXSID50287501,MLS002667457,CC1=CC=C(NC2=NC=C3C(=O)NNC(=O)C3=N2)C=C1
DTXSID10440493,DSSTox_Substance_Id,DTXSID10440493,"Benzeneacetic acid, 2-[(3,5-dichlorophenyl)amino]-",OC(=O)CC1=CC=CC=C1NC1=CC(Cl)=CC(Cl)=C1
DTXSID50283326,DSSTox_Substance_Id,DTXSID50283326,Ethyl 5-methylindole-2-carboxylate,CCOC(=O)C1=CC2=C(N1)C=CC(C)=C2
DTXSID7062459,DSSTox_Substance_Id,DTXSID7062459,"1,2,3,7-Tetrahydro-2-thioxo-6H-purin-6-one",O=C1NC(=S)NC2=C1NC=N2
DTXSID20651391,DSSTox_Substance_Id,DTXSID20651391,6-[(Propan-2-yl)amino]pyridine-3-carboxylic acid,CC(C)NC1=NC=C(C=C1)C(O)=O
DTXSID6040402,DSSTox_Substance_Id,DTXSID6040402,8-(4-Chlorophenylthio)-cAMP,NC1=NC=NC2=C1N=C(SC1=CC=C(Cl)C=C1)N2[C@@H]1O[C@@H]2COP(O)(=O)O[C@H]2[C@H]1O
DTXSID2022543,DSSTox_Substance_Id,DTXSID2022543,N-Acetylaminobenzene,CC(=O)NC1=CC=CC=C1
DTXSID10659104,DSSTox_Substance_Id,DTXSID10659104,"1-[(1-Benzofuran-3-yl)methyl]-4-(3,4-dichlorophenyl)piperidin-4-ol",OC1(CCN(CC2=COC3=CC=CC=C23)CC1)C1=CC(Cl)=C(Cl)C=C1
DTXSID60403518,DSSTox_Substance_Id,DTXSID60403518,2-hexadecoxy-5-sulfobenzoic acid,CCCCCCCCCCCCCCCCOC1=C(C=C(C=C1)S(O)(=O)=O)C(O)=O
DTXSID00164499,DSSTox_Substance_Id,DTXSID00164499,"1,2,3,6,7-Pentachloronaphthalene",ClC1=CC2=CC(Cl)=C(Cl)C=C2C(Cl)=C1Cl
DTXSID10189577,DSSTox_Substance_Id,DTXSID10189577,"Pyrimidine, 2-(4-(m-methoxyphenyl)-1-piperazinyl)-",COC1=CC=CC(=C1)N1CCN(CC1)C1=NC=CC=N1
DTXSID40873210,DSSTox_Substance_Id,DTXSID40873210,"({(2E)-2-[(3aS,4S,5R,6aS)-5-Hydroxy-4-[(3S,4R)-3-hydroxy-4-methylnona-1,6-diyn-1-yl]hexahydropentalen-2(1H)-ylidene]ethyl}oxy)acetic acid",[H][C@]12C[C@@H](O)[C@H](C#C[C@@H](O)[C@H](C)CC#CCC)[C@@]1([H])C\C(C2)=C\COCC(O)=O
DTXSID8042634,DSSTox_Substance_Id,DTXSID8042634,SKF 83822 hydrobromide,Br.CC1=CC=CC(=C1)C1CN(CC=C)CCC2=C1C=C(O)C(O)=C2Cl
DTXSID50382964,DSSTox_Substance_Id,DTXSID50382964,"5-anilino-8-methyl-1,3-diphenyl-1,2,3,4,7,8-hexahydropyrido[2,3-d]pyrimidine-2,4,7-trione",CN1C(=O)C=C(NC2=CC=CC=C2)C2=C1N(C(=O)N(C2=O)C1=CC=CC=C1)C1=CC=CC=C1
DTXSID90204434,DSSTox_Substance_Id,DTXSID90204434,Bisfenazone [INN:DCF],CC(C)C1=C(CNC2=C(C)N(C)N(C2=O)C2=CC=CC=C2)N(C)N(C1=O)C1=CC=CC=C1
DTXSID4021921,DSSTox_Substance_Id,DTXSID4021921,"2-Butyne-1,4-diol",OCC#CCO
DTXSID10390469,DSSTox_Substance_Id,DTXSID10390469,AC1MLMES,O=C(NC1CCCC1)C(N(C1CCCC1)C(=O)C1=CSN=N1)C1=CC=NC=C1
DTXSID50583277,DSSTox_Substance_Id,DTXSID50583277,Ethyl 2-(chloromethyl)-4-methylquinoline-3-carboxylate--hydrogen chloride (1/1),Cl.CCOC(=O)C1=C(C)C2=CC=CC=C2N=C1CCl
DTXSID8023185,DSSTox_Substance_Id,DTXSID8023185,Kanamycin B,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)[C@@H](O)[C@@H]1O
DTXSID20891851,DSSTox_Substance_Id,DTXSID20891851,15-Acetyldeoxynivalenol,[H][C@@]12O[C@]3([H])C=C(C)C(=O)[C@@H](O)[C@]3(COC(C)=O)[C@@](C)(C[C@H]1O)[C@]21CO1
DTXSID00191922,DSSTox_Substance_Id,DTXSID00191922,"Thiourea, N-(2-((1H-imidazol-4-ylmethyl)thio)ethyl)-N'-methyl-",CNC(=S)NCCSCC1=CN=CN1
DTXSID80334375,DSSTox_Substance_Id,DTXSID80334375,"Phosphoric triamide, N,N',N''-tris(4-methylphenyl)-",CC1=CC=C(NP(=O)(NC2=CC=C(C)C=C2)NC2=CC=C(C)C=C2)C=C1
DTXSID20164032,DSSTox_Substance_Id,DTXSID20164032,Quercetin 3-methyl ether,COC1=C(OC2=CC(O)=CC(O)=C2C1=O)C1=CC(O)=C(O)C=C1
DTXSID90209469,DSSTox_Substance_Id,DTXSID90209469,Bufotenium,C[N+](C)(C)CCC1=CNC2=C1C=C(O)C=C2
DTXSID30357115,DSSTox_Substance_Id,DTXSID30357115,2-(4-methoxyphenyl)pyridin-3-ol,COC1=CC=C(C=C1)C1=C(O)C=CC=N1
DTXSID9047099,DSSTox_Substance_Id,DTXSID9047099,6-Hexyltetrahydro-2H-pyran-2-one,CCCCCCC1CCCC(=O)O1
DTXSID6048593,DSSTox_Substance_Id,DTXSID6048593,Cefquinome sulfate,OS([O-])(=O)=O.[H][C@]12SCC(C[N+]3=C4CCCCC4=CC=C3)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=NSC(N)=N1)C(O)=O
DTXSID30297764,DSSTox_Substance_Id,DTXSID30297764,"3,6-dimethoxyphenanthren-4-yl acetate",COC1=CC2=C(C=C1)C=CC1=C2C(OC(C)=O)=C(OC)C=C1
DTXSID50545931,DSSTox_Substance_Id,DTXSID50545931,"(2,2-Dimethyl-1,3-dioxolan-4-yl)methyl sulfamate",CC1(C)OCC(COS(N)(=O)=O)O1
DTXSID60202806,DSSTox_Substance_Id,DTXSID60202806,"4-(3,5-Dimethoxyphenyl)-1-methyl-4-piperidinecarbonitrile",COC1=CC(=CC(OC)=C1)C1(CCN(C)CC1)C#N
DTXSID30366449,DSSTox_Substance_Id,DTXSID30366449,3-tert-butyl-1H-pyrazole-5-carboxylic acid,CC(C)(C)C1=CC(=NN1)C(O)=O
DTXSID50597031,DSSTox_Substance_Id,DTXSID50597031,N-(4-Cyanophenyl)sulfuric diamide,NS(=O)(=O)NC1=CC=C(C=C1)C#N
DTXSID10420210,DSSTox_Substance_Id,DTXSID10420210,NSC690252,O=C(N\N=C\C1=CC=CC=N1)C1=CC=NC=C1
DTXSID60390550,DSSTox_Substance_Id,DTXSID60390550,"2-methyl-3-(1,2,3,6-tetrahydropyridin-4-yl)-1H-indole",CC1=C(C2=CC=CC=C2N1)C1=CCNCC1
DTXSID4043983,DSSTox_Substance_Id,DTXSID4043983,4-(3-Chlorophenyl)-α-(diphenylmethyl)-1-piperazineethanol,OC(CN1CCN(CC1)C1=CC(Cl)=CC=C1)C(C1=CC=CC=C1)C1=CC=CC=C1
DTXSID7075214,DSSTox_Substance_Id,DTXSID7075214,Quinazoline,C1=CC=C2N=CN=CC2=C1
DTXSID00387388,DSSTox_Substance_Id,DTXSID00387388,"4-(1,3-dioxobenzo[de]isoquinolin-2-yl)-N-(1,1-dioxothiolan-3-yl)butanamide",O=C(CCCN1C(=O)C2=CC=CC3=C2C(=CC=C3)C1=O)NC1CCS(=O)(=O)C1
DTXSID2047935,DSSTox_Substance_Id,DTXSID2047935,1-Hexylpyridinium chloride,[Cl-].CCCCCC[N+]1=CC=CC=C1
