CAS Number,FOUND_BY,DTXSID,PREFERRED_NAME,SMILES
128270-60-0,CASRN,DTXSID00155847,Bivalirudin,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC(C)C)C(O)=O
148031-34-9,Deleted CAS-RN,DTXSID7046673,Eptifibatide,[H][C@@]12CCCN1C(=O)[C@H](CC1=CNC3=CC=CC=C13)NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@H](CCCCNC(N)=N)NC(=O)CCSSC[C@H](NC2=O)C(N)=O
53714-56-0,CASRN,DTXSID50872411,Leuprorelin,CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1
50-57-7,CASRN,DTXSID8048575,Lypressin,NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSC[C@H](N)C(=O)N[C@@H](CC2=CC=C(O)C=C2)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O
79517-01-04,Searched by Synonym: Found 0 results,N/A,N/A,N/A
79561-22-1,CASRN,DTXSID401338739,5-Oxo-L-prolyl-L-histidyl-L-tryptophyl-L-seryl-L-tyrosyl-D-alanyl-L-leucyl-L-arginyl-N-ethyl-L-prolinamide acetate (1:2),CC(O)=O.CC(O)=O.[H][C@@](CO)(NC(=O)[C@]([H])(CC1=CNC2=CC=CC=C12)NC(=O)[C@]([H])(CC1=CN=CN1)NC(=O)[C@]1([H])CCC(=O)N1)C(=O)N[C@@]([H])(CC1=CC=C(O)C=C1)C(=O)N[C@H](C)C(=O)NC([H])(CC(C)C)C(=O)N[C@@]([H])(CCCNC(N)=N)C(=O)N1CCC[C@@]1([H])C(=O)NCC
90779-69-4,CASRN,DTXSID8048991,Atosiban,CCOC1=CC=C(C[C@H]2NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](NC2=O)[C@@H](C)CC)[C@@H](C)O)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCN)C(=O)NCC(N)=O)C=C1
71447-49-9,CASRN,DTXSID201339012,Gonadorelin diacetate,CC(O)=O.CC(O)=O.CC(C)C[C@H](NC(=O)CNC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O
50-56-6,CASRN,DTXSID8048361,Oxytocin,[H][C@]1(NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)[C@@H](N)CSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O)[C@@H](C)CC
47931-85-1,CASRN,DTXSID601026667,Salmon calcitonin,[H][C@]1(NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CO)NC(=O)[C@@H](N)CSSC[C@H](NC1=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)NCC(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@@H]([C@@H](C)O)C(=O)N1CCC[C@H]1C(N)=O)[C@@H](C)O
14636-12-5,CASRN,DTXSID7048952,Terlipressin,NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSC[C@H](NC(=O)CNC(=O)CNC(=O)CN)C(=O)N[C@@H](CC2=CC=C(O)C=C2)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O
158861-67-7,CASRN,DTXSID601032404,Pralmorelin,C[C@@H](N)C(=O)N[C@H](CC1=CC2=CC=CC=C2C=C1)C(=O)N[C@@H](C)C(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(=O)N[C@H](CC1=CC=CC=C1)C(=O)N[C@@H](CCCCN)C(N)=O
16941-32-5,CASRN,DTXSID101016809,Glucagon (swine),[H]OC[C@H](N([H])C(=O)[C@H](CC1=CN=CN1[H])N([H])[H])C(=O)N([H])[C@@H](CCC(=O)N([H])[H])C(=O)N([H])CC(=O)N([H])[C@@H]([C@@H](C)O[H])C(=O)N([H])[C@@H](CC1=CC=CC=C1)C(=O)N([H])[C@@H]([C@@H](C)O[H])C(=O)N([H])[C@@H](CO[H])C(=O)N([H])[C@@H](CC(=O)O[H])C(=O)N([H])[C@@H](CC1=CC=C(O[H])C=C1)C(=O)N([H])[C@@H](CO[H])C(=O)N([H])[C@@H](CCCCN([H])[H])C(=O)N([H])[C@@H](CC1=CC=C(O[H])C=C1)C(=O)N([H])[C@@H](CC(C)C)C(=O)N([H])[C@@H](CC(=O)O[H])C(=O)N([H])[C@@H](CO[H])C(=O)N([H])[C@@H](CCCN([H])C(=N[H])N([H])[H])C(=O)N([H])[C@@H](CCCN([H])C(=N[H])N([H])[H])C(=O)N([H])[C@@H](C)C(=O)N([H])[C@@H](CCC(=O)N([H])[H])C(=O)N([H])[C@@H](CC(=O)O[H])C(=O)N([H])[C@@H](CC1=CC=CC=C1)C(=O)N([H])[C@@H](C(C)C)C(=O)N([H])[C@@H](CCC(=O)N([H])[H])C(=O)N([H])[C@@H](CC1=CN([H])C2=C1C=CC=C2)C(=O)N([H])[C@@H](CC(C)C)C(=O)N([H])[C@@H](CCSC)C(=O)N([H])[C@@H](CC(=O)N([H])[H])C(=O)N([H])[C@@H]([C@@H](C)O[H])C(=O)O[H]
76932-56-4,CASRN,DTXSID001031284,Nafareline,CC(C)C[C@H](NC(=O)[C@@H](CC1=CC2=C(C=CC=C2)C=C1)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O
151126-32-8,CASRN,DTXSID801027623,Pramlintide,N/A
16679-58-6,CASRN,DTXSID1048259,Desmopressin,NC(=O)CC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@H](CCCNC(N)=N)C(=O)NCC(N)=O
