INCHIKEY,name,orig_target_ann,target_count,targets,DTXSID
OIRCOABEOLEUMC-UHFFFAOYSA-N,Bivalirudin Trifluoroacetate,0,1,F2,DTXSID00155847
CZKPOZZJODAYPZ-UHFFFAOYSA-N,Eptifibatide Acetate,5-alpha Reductase,1,ITGB3,DTXSID7046673
GFIJNRVAKGFPGQ-UHFFFAOYSA-N,Leuprorelin Acetate,5-alpha Reductase,1,GNRHR,DTXSID50872411
BJFIDCADFRDPIO-UHFFFAOYSA-N,Lypressin Acetate,0,,,
QLGKMLRGKPKGKI-UHFFFAOYSA-N,Alarelin Acetate,5-alpha Reductase,,,
VWXRQYYUEIYXCZ-UHFFFAOYSA-N,Atosiban Acetate,0,,,
XLXSAKCOAKORKW-UHFFFAOYSA-N,Gonadorelin Acetate,5-alpha Reductase,,,
XNOPRXBHLZRZKH-UHFFFAOYSA-N,Oxytocin (Syntocinon),0,,,
BBBFJLBPOGFECG-UHFFFAOYSA-N,Salmon Calcitonin Acetate,0,,,
BENFXAYNYRLAIU-UHFFFAOYSA-N,Terlipressin Acetate,5-alpha Reductase,,,
HRNLPPBUBKMZMT-UHFFFAOYSA-N,GHRP-2,0,,,
MASNOZXLGMXCHN-UHFFFAOYSA-N,Glucagon HCl,5-alpha Reductase,,,
RWHUEXWOYVBUCI-UHFFFAOYSA-N,Nafarelin Acetate,0,,,
NFLWUMRGJYTJIN-UHFFFAOYSA-N,Desmopressin Acetate,Others,1,AVPR2,DTXSID1048259
CZGUSIXMZVURDU-UHFFFAOYSA-N,Angiotensin II human Acetate,Angiotensin Receptor,,,
NSQLIUXCMFBZME-UHFFFAOYSA-N,Carperitide Acetate,Others,,,
MPVGZUGXCQEXTM-UHFFFAOYSA-N,Linifanib (ABT-869),"CSF-1R,PDGFR,VEGFR",2,"KDR, FLT3",DTXSID40229834
JNAHVYVRKWKWKQ-UHFFFAOYSA-N,Veliparib (ABT-888),PARP,1,PARP1,DTXSID90238456
RITAVMQDGBJQJZ-UHFFFAOYSA-N,Axitinib,"c-Kit,PDGFR,VEGFR",,,
OUKYUETWWIPKQR-UHFFFAOYSA-N,Saracatinib (AZD0530),Src,,,
YOZBGTLTNGAVFU-UHFFFAOYSA-N,Roxadustat (FG-4592),HIF,,,
CYOHGALHFOKKQC-UHFFFAOYSA-N,Selumetinib (AZD6244),MEK,,,
CPMDPSXJELVGJG-UHFFFAOYSA-N,Nintedanib (BIBF 1120),"FGFR,PDGFR,VEGFR",,,
HSPXNODNUFUFPA-UHFFFAOYSA-N,Afatinib (BIBW2992),"EGFR,HER2",,,
ZWVZORIKUNOTCS-UHFFFAOYSA-N,BMS-536924,IGF-1R,,,
GXJABQQUPOEUTA-UHFFFAOYSA-N,Bortezomib (PS-341),Proteasome,4,"PSMD2, PSMB5, PSMB2, PSMB1",DTXSID3040980
UBPYILGKFZZVDX-UHFFFAOYSA-N,Bosutinib (SKI-606),Src,,,
XXJWYDDUDKYVKI-UHFFFAOYSA-N,Cediranib (AZD2171),VEGFR,,,
PIQCTGMSNWUMAF-UHFFFAOYSA-N,"Dovitinib (TKI-258, CHIR-258)","c-Kit,FGFR,FLT3,PDGFR,VEGFR",,,
OMZCMEYTWSXEPZ-UHFFFAOYSA-N,Canertinib (CI-1033),"EGFR,HER2",1,EGFR,DTXSID8048943
GFMMXOIFOQCCGU-UHFFFAOYSA-N,PD184352 (CI-1040),MEK,,,
ZBNZXTGUTAYRHI-UHFFFAOYSA-N,Dasatinib,"Bcr-Abl,c-Kit,Src",4,"YES1, KIT, ABL1, SRC",DTXSID4040979
MTTQXNQOEINTQC-UHFFFAOYSA-N,"Ridaforolimus (Deforolimus, MK-8669)",mTOR,,,
AAKJLRGGTJKAMG-UHFFFAOYSA-N,Erlotinib HCl (OSI-744),"Autophagy,EGFR",6,"PDGFRB, ERBB2, KDR, ERBB4, EGFR, ERBB3",DTXSID8046454
XGALLCVXEZPNRQ-UHFFFAOYSA-N,Gefitinib (ZD1839),EGFR,4,"ERBB4, EGFR, ERBB3, ERBB2",DTXSID8041034
KTUFNOKKBVMGRW-UHFFFAOYSA-N,Imatinib Mesylate (STI571),"Bcr-Abl,c-Kit,PDGFR",7,"SRC, KIT, PDGFRA, NTRK1, PDGFRB, ABL1, BCR",DTXSID3037125
BCFGMOOMADDAQU-UHFFFAOYSA-N,Lapatinib (GW-572016) Ditosylate,"EGFR,HER2",2,"ERBB2, EGFR",DTXSID7046675
GOTYRUGSSMKFNF-UHFFFAOYSA-N,Lenalidomide (CC-5013),TNF-alpha,,,
FPOHNWQLNRZRFC-UHFFFAOYSA-N,Panobinostat (LBH589),HDAC,9,"HDAC5, HDAC6, HDAC2, HDAC3, HDAC7, HDAC8, HDAC9, HDAC1, HDAC4",DTXSID40193506
RAHBGWKEPAQNFF-UHFFFAOYSA-N,Motesanib Diphosphate (AMG-706),"VEGFR,PDGFR,c-Kit",,,
HHZIURLSWUIHRB-UHFFFAOYSA-N,Nilotinib (AMN-107),Bcr-Abl,2,"ABL1, DDR2",DTXSID5042663
CUIHSIWYWATEQL-UHFFFAOYSA-N,Pazopanib HCl (GW786034 HCl),"c-Kit,PDGFR,VEGFR",1,KDR,DTXSID8048733
SUDAHWBOROXANE-UHFFFAOYSA-N,PD0325901,MEK,1,MAP2K1,DTXSID0044024
SZFPYBIJACMNJV-UHFFFAOYSA-N,Perifosine (KRX-0401),Akt,,,
TUVCWJQQGGETHL-UHFFFAOYSA-N,PI-103,"Autophagy,DNA-PK,mTOR,PI3K",2,"MTOR, PIK3CA",DTXSID40190676
DVSZTYJRXBBIFA-UHFFFAOYSA-N,Rapamycin (Sirolimus),"Autophagy,mTOR",2,"MTOR, FKBP1A",DTXSID5023582
MLDQJTXFUGDVEO-UHFFFAOYSA-N,Sorafenib Tosylate,"PDGFR,Raf,VEGFR",5,"FLT4, BRAF, KDR, RAF1, FLT3",DTXSID7041128
KATNUHQNJGNLPW-UHFFFAOYSA-N,STF-62247,Autophagy,,,
ALVHFWNGOPERPY-UHFFFAOYSA-N,Sunitinib Malate,"c-Kit,PDGFR,VEGFR",2,"PDGFRB, KIT",DTXSID1041134
UXXQOJXBIDBUAC-UHFFFAOYSA-N,Tandutinib (MLN518),FLT3,1,FLT3,DTXSID8048947
ZWYQUVBAZLHTHP-UHFFFAOYSA-N,"Temsirolimus (CCI-779, NSC 683864)",mTOR,,,
UHTHHESEBZOYNR-UHFFFAOYSA-N,Vandetanib (ZD6474),VEGFR,4,"FLT1, KDR, EGFR, RET",DTXSID1046681
WAEXFXRVDQXREF-UHFFFAOYSA-N,"Vorinostat (SAHA, MK0683)","Autophagy,HDAC",12,"HDAC10, HDAC7, HDAC4, HDAC2, HDAC8, HDAC1, HDAC3, NCOR2, HDAC11, HDAC9, HDAC5, HDAC6",DTXSID6041133
GCIKSSRWRFVXBI-UHFFFAOYSA-N,"Tozasertib (VX-680, MK-0457)",Aurora Kinase,3,"AURKB, AURKA, AURKC",DTXSID10213609
IYOZTVGMEWJPKR-UHFFFAOYSA-N,Y-27632 2HCl,"Autophagy,ROCK",2,"ROCK2, ROCK1",DTXSID7043740
BKJIXTWSNXCKJH-UHFFFAOYSA-N,Elesclomol (STA-4783),HSP (e.g. HSP90),,,
INVTYAOGFAGBOE-UHFFFAOYSA-N,Entinostat (MS-275),HDAC,11,"HDAC5, HDAC6, HDAC4, HDAC1, HDAC8, HDAC7, HDAC3, HDAC10, HDAC2, HDAC9, HDAC11",DTXSID0041068
AXRCEOKUDYDWLF-UHFFFAOYSA-N,Enzastaurin (LY317615),PKC,,,
LUJZZYWHBDHDQX-UHFFFAOYSA-N,AC480 (BMS-599626),"EGFR,HER2",,,
FDLYAMZZIXQODN-UHFFFAOYSA-N,"Olaparib (AZD2281, Ku-0059436)",PARP,,,
WJEOLQLKVOPQFV-UHFFFAOYSA-N,Masitinib (AB1010),"c-Kit,PDGFR",,,
