INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,SMILES
DTXSID9034573,DSSTox_Substance_Id,DTXSID9034573,Ethametsulfuron-methyl,CCOC1=NC(NC)=NC(NC(=O)NS(=O)(=O)C2=C(C=CC=C2)C(=O)OC)=N1
DTXSID20227252,DSSTox_Substance_Id,DTXSID20227252,Lds 751,[O-][Cl](=O)(=O)=O.CC[N+]1=C(SC2=CC=CC=C12)\C=C\C=C\C1=CC=C(C=C1)N(C)C
DTXSID30209443,DSSTox_Substance_Id,DTXSID30209443,"Benzanilide, 4'-dimethylamino-3,4,5-trimethoxy-",COC1=CC(=CC(OC)=C1OC)C(=O)NC1=CC=C(C=C1)N(C)C
DTXSID00295974,DSSTox_Substance_Id,DTXSID00295974,MLS002703935,CC(C)=NNC1=NC(=O)C(S1)C1=CC=CC=C1
DTXSID4041367,DSSTox_Substance_Id,DTXSID4041367,"2,4-Dinitrophenyl thiocyanate",[O-][N+](=O)C1=CC=C(SC#N)C(=C1)[N+]([O-])=O
DTXSID70389677,DSSTox_Substance_Id,DTXSID70389677,"8-Acetyl-3a,4,5,9b-tetrahydro-3H-cyclopenta[c]quinoline-4-carboxylic acid",CC(=O)C1=CC2=C(NC(C3CC=CC23)C(O)=O)C=C1
DTXSID70349392,DSSTox_Substance_Id,DTXSID70349392,3-Acetylamino-1H-indole-2-carboxylic acid,CC(=O)NC1=C(NC2=CC=CC=C12)C(O)=O
DTXSID5040415,DSSTox_Substance_Id,DTXSID5040415,Angiopoietin-1,N/A
DTXSID7020976,DSSTox_Substance_Id,DTXSID7020976,Nitrogen mustard N-oxide,C[N+]([O-])(CCCl)CCCl
DTXSID40162550,DSSTox_Substance_Id,DTXSID40162550,N-(1-Methyl-5-indolyl)-N'-(3-pyridyl)urea,CN1C=CC2=C1C=CC(NC(=O)NC1=CN=CC=C1)=C2
DTXSID10185771,DSSTox_Substance_Id,DTXSID10185771,2-(2-Thienylmethyl)-3-thiophenecarboxylic acid,OC(=O)C1=C(CC2=CC=CS2)SC=C1
DTXSID30395416,DSSTox_Substance_Id,DTXSID30395416,MLS000737850,O=C1NC2=C(N=CN2C2=CC=CC=C2)C(=S)N1
DTXSID9020372,DSSTox_Substance_Id,DTXSID9020372,Mitotane,ClC(Cl)C(C1=CC=C(Cl)C=C1)C1=C(Cl)C=CC=C1
DTXSID2045945,DSSTox_Substance_Id,DTXSID2045945,Azelastine hydrochloride,Cl.CN1CCCC(CC1)N1N=C(CC2=CC=C(Cl)C=C2)C2=CC=CC=C2C1=O
DTXSID5045203,DSSTox_Substance_Id,DTXSID5045203,Sobuzoxane,CC(C)COC(=O)OCN1C(=O)CN(CCN2CC(=O)N(COC(=O)OCC(C)C)C(=O)C2)CC1=O
DTXSID40226883,DSSTox_Substance_Id,DTXSID40226883,Ethyl 5-hydroxy-2-methylindole-3-carboxylate,CCOC(=O)C1=C(C)NC2=C1C=C(O)C=C2
DTXSID80293695,DSSTox_Substance_Id,DTXSID80293695,3-(2-Methylaminoethyl)indol-5-ol oxalate,OC(=O)C(O)=O.CNCCC1=CNC2=C1C=C(O)C=C2
DTXSID30230974,DSSTox_Substance_Id,DTXSID30230974,3-(4-(4-Chlorophenyl-4-hydroxypiperidino)methyl)indole,OC1(CCN(CC2=CNC3=CC=CC=C23)CC1)C1=CC=C(Cl)C=C1
DTXSID0025078,DSSTox_Substance_Id,DTXSID0025078,"5,7-Dihydroxy-4-methylcoumarin",CC1=CC(=O)OC2=C1C(O)=CC(O)=C2
DTXSID50197398,DSSTox_Substance_Id,DTXSID50197398,Edoxaban,CN(C)C(=O)[C@H]1CC[C@H](NC(=O)C(=O)NC2=NC=C(Cl)C=C2)[C@@H](C1)NC(=O)C1=NC2=C(CN(C)CC2)S1
DTXSID3061637,DSSTox_Substance_Id,DTXSID3061637,"2-Naphthalenecarboxamide, 7-bromo-3-hydroxy-N-(2-methoxyphenyl)-",COC1=C(NC(=O)C2=C(O)C=C3C=CC(Br)=CC3=C2)C=CC=C1
DTXSID70442897,DSSTox_Substance_Id,DTXSID70442897,"N,2-dibenzylthieno[3,2-d]pyrimidin-4-amine",C(NC1=NC(CC2=CC=CC=C2)=NC2=C1SC=C2)C1=CC=CC=C1
DTXSID0045543,DSSTox_Substance_Id,DTXSID0045543,Methylatropine nitrate,[O-][N+]([O-])=O.C[N+]1(C)[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(CO)C1=CC=CC=C1
DTXSID90396166,DSSTox_Substance_Id,DTXSID90396166,MLS002639472,CC(C)C1=C(O)C=C(C)C(NC(=O)NC2=CC=C(C=C2)[N+]([O-])=O)=C1
DTXSID50220170,DSSTox_Substance_Id,DTXSID50220170,Atractylon,CC1=COC2=C1C[C@H]1C(=C)CCC[C@]1(C)C2
DTXSID60171341,DSSTox_Substance_Id,DTXSID60171341,Daglutril,CCOC(=O)[C@H](CCC1=CC=CC=C1)CC1(CCCC1)C(=O)N[C@H]1CCC2=CC=CC=C2N(CC(O)=O)C1=O
DTXSID2020006,DSSTox_Substance_Id,DTXSID2020006,Acetaminophen,CC(=O)NC1=CC=C(O)C=C1
DTXSID80440480,DSSTox_Substance_Id,DTXSID80440480,4-[5-(6-methylpyridin-2-yl)-1H-pyrazol-4-yl]quinoline,CC1=NC(=CC=C1)C1=C(C=NN1)C1=CC=NC2=CC=CC=C12
DTXSID00406604,DSSTox_Substance_Id,DTXSID00406604,3-cyano-N-(4-methyl-3-morpholin-4-ylsulfonylphenyl)benzamide,CC1=C(C=C(NC(=O)C2=CC=CC(=C2)C#N)C=C1)S(=O)(=O)N1CCOCC1
DTXSID00355522,DSSTox_Substance_Id,DTXSID00355522,(2-methoxy-4-propionylphenoxy)acetic acid,CCC(=O)C1=CC(OC)=C(OCC(O)=O)C=C1
DTXSID90230152,DSSTox_Substance_Id,DTXSID90230152,8-(4-Sulfophenyl)theophylline,CN1C2=C(NC(=N2)C2=CC=C(C=C2)S(O)(=O)=O)C(=O)N(C)C1=O
DTXSID00582735,DSSTox_Substance_Id,DTXSID00582735,1-(5-Bromo-1H-indol-3-yl)-3-hydroxypropan-2-one,OCC(=O)CC1=CNC2=C1C=C(Br)C=C2
DTXSID00191083,DSSTox_Substance_Id,DTXSID00191083,BVT-2733,CN1CCN(CC1)C(=O)CC1=CSC(NS(=O)(=O)C2=C(C)C(Cl)=CC=C2)=N1
DTXSID60658581,DSSTox_Substance_Id,DTXSID60658581,"4,6,7-Trimethylquinazoline-8-carbonitrile",CC1=CC2=C(C)N=CN=C2C(C#N)=C1C
DTXSID40423294,DSSTox_Substance_Id,DTXSID40423294,"N,5-diphenyl-2H-triazol-4-amine",N(C1=NNN=C1C1=CC=CC=C1)C1=CC=CC=C1
DTXSID60283094,DSSTox_Substance_Id,DTXSID60283094,MLS002639292,OCCN1CCSC1=S
DTXSID70149011,DSSTox_Substance_Id,DTXSID70149011,BIIB-024,C[C@@H](NC(=O)C1=C(Cl)C(N)=NC=N1)C1=NC=C(S1)C(=O)NC1=NC=C(Cl)C(=C1)C(F)(F)F
DTXSID4037617,DSSTox_Substance_Id,DTXSID4037617,Promecarb,CNC(=O)OC1=CC(=CC(C)=C1)C(C)C
DTXSID70195371,DSSTox_Substance_Id,DTXSID70195371,9-Benzyladenine,NC1=C2N=CN(CC3=CC=CC=C3)C2=NC=N1
DTXSID50204910,DSSTox_Substance_Id,DTXSID50204910,"Salicylic acid, 4-amino-, p-tolyl ester",CC1=CC=C(OC(=O)C2=C(O)C=C(N)C=C2)C=C1
DTXSID90280117,DSSTox_Substance_Id,DTXSID90280117,MLS002638440,O=C1N(CCCN2C(=O)C3=CC=CC=C3S2(=O)=O)S(=O)(=O)C2=CC=CC=C12
DTXSID40378674,DSSTox_Substance_Id,DTXSID40378674,3-Chloro-4-fluoro-DL-phenylglycine,NC(C(O)=O)C1=CC(Cl)=C(F)C=C1
DTXSID00280108,DSSTox_Substance_Id,DTXSID00280108,2-arsonobenzoic acid,OC(=O)C1=CC=CC=C1[As](O)(O)=O
DTXSID20401156,DSSTox_Substance_Id,DTXSID20401156,dimethyl 2-[(4-chlorophenyl)methylidene]propanedioate,COC(=O)C(=CC1=CC=C(Cl)C=C1)C(=O)OC
DTXSID60210784,DSSTox_Substance_Id,DTXSID60210784,"Benzofurazan, 7-(4-benzyl-1-piperazinyl)-4-nitro-, 1-oxide",[O-][N+](=O)C1=CC=C(N2CCN(CC3=CC=CC=C3)CC2)C2=[N+]([O-])ON=C12
DTXSID70349433,DSSTox_Substance_Id,DTXSID70349433,(4-Benzyl-1-oxophthalazin-2(1H)-yl)acetic acid,OC(=O)CN1N=C(CC2=CC=CC=C2)C2=CC=CC=C2C1=O
DTXSID80286709,DSSTox_Substance_Id,DTXSID80286709,"1-(quinolin-8-yl)-1h-pyrrole-2,5-dione",O=C1C=CC(=O)N1C1=CC=CC2=C1N=CC=C2
