SMILES_original,SMILES_standardized,InChI_standardized,InChIKey_standardized,EMBL_Chemcore_ID,Descriptive name,Pesticide type,CAS-Number,Monoisotopic mass,InChI,IUPAC-Name,Supplier,Supplier Object Id,CHEMBL_ID,ChEBI
CCOC(=O)c1cn2nc(OP(=S)(OCC)OCC)cc2nc1C,CCOC(=O)c1cn2nc(OP(=S)(OCC)OCC)cc2nc1C,"InChI=1S/C14H20N3O5PS/c1-5-19-14(18)11-9-17-12(15-10(11)4)8-13(16-17)22-23(24,20-6-2)21-7-3/h8-9H,5-7H2,1-4H3",JOOMJVFZQRQWKR-UHFFFAOYSA-N,160174,Pyrazophos,Fungicide,13457-18-6,"3,730,861",JOOMJVFZQRQWKR-UHFFFAOYSA-N,"Ethyl 2-[(diethoxyphosphorothioyl)oxy]-5-methylpyrazolo[1,5-a]pyrimidine-6-carboxylate",SIGMA-ALDRICH,45648-250MG,CHEMBL1537719,CHEBI:81942
Oc1cccc2cccnc12,Oc1cccc2cccnc12,"InChI=1S/C9H7NO/c11-8-5-1-3-7-4-2-6-10-9(7)8/h1-6,11H",MCJGNVYPOGVAJF-UHFFFAOYSA-N,166126,8-Hydroxyquinoline,Fungicide,148-24-3,"1,450,528",MCJGNVYPOGVAJF-UHFFFAOYSA-N,Quinolin-8-ol,SIGMA-ALDRICH,36524-250MG,CHEMBL310555,CHEBI:48981
Oc1cccc2cccnc12,Oc1cccc2cccnc12,"InChI=1S/C9H7NO/c11-8-5-1-3-7-4-2-6-10-9(7)8/h1-6,11H",MCJGNVYPOGVAJF-UHFFFAOYSA-N,166126,8-Hydroxyquinoline,Fungicide,148-24-3,"1,450,528",MCJGNVYPOGVAJF-UHFFFAOYSA-N,Quinolin-8-ol,SIGMA-ALDRICH,36524-250MG,CHEMBL310555,CHEBI:48981
CN(C)NC(=O)CCC(O)=O,CN(C)NC(=O)CCC(=O)O,"InChI=1S/C6H12N2O3/c1-8(2)7-5(9)3-4-6(10)11/h3-4H2,1-2H3,(H,7,9)(H,10,11)",NOQGZXFMHARMLW-UHFFFAOYSA-N,177033,Daminozide,Plant growth regulator,1596-84-5,"1,600,848",NOQGZXFMHARMLW-UHFFFAOYSA-N,"4-(2,2-Dimethylhydrazinyl)-4-oxobutanoic acid",SIGMA-ALDRICH,45418-250MG,CHEMBL2164243,CHEBI:4312
OC(=O)Cc1c[nH]c2ccccc12,O=C(O)Cc1c[nH]c2ccccc12,"InChI=1S/C10H9NO2/c12-10(13)5-7-6-11-9-4-2-1-3-8(7)9/h1-4,6,11H,5H2,(H,12,13)",SEOVTRFCIGRIMH-UHFFFAOYSA-N,186185,Indole-3-acetic acid,Plant growth regulator,87-51-4,"1,750,633",SEOVTRFCIGRIMH-UHFFFAOYSA-N,(1H-Indol-3-yl)acetic acid,SIGMA-ALDRICH,45533-250MG,CHEMBL82411,CHEBI:30854
CN(C)C(=S)SSC(=S)N(C)C,CN(C)C(=S)SSC(=S)N(C)C,InChI=1S/C6H12N2S4/c1-7(2)5(9)11-12-6(10)8(3)4/h1-4H3,KUAZQDVKQLNFPE-UHFFFAOYSA-N,251026,Thiram,Fungicide,137-26-8,"2,399,883",KUAZQDVKQLNFPE-UHFFFAOYSA-N,-,SIGMA-ALDRICH,45689-250MG,CHEMBL120563,CHEBI:9495
OCc1cc(Cl)ccc1OCC(O)=O,O=C(O)COc1ccc(Cl)cc1CO,"InChI=1S/C9H9ClO4/c10-7-1-2-8(6(3-7)4-11)14-5-9(12)13/h1-3,11H,4-5H2,(H,12,13)",ZJRUTGDCLVIVRD-UHFFFAOYSA-N,313377,Cloxyfonac,Plant growth regulator,6386-63-6,"2,160,189",ZJRUTGDCLVIVRD-UHFFFAOYSA-N,[4-Chloro-2-(hydroxymethyl)phenoxy]acetic acid,SIGMA-ALDRICH,37096-25MG,CHEMBL1479569,
0,,,,420314,Niclosamide monohydrate,Molluscicide,73360-56-2,"3,269,939",ZBXRPLQCPHTHLM-UHFFFAOYSA-N,5-Chloro-N-(2-chloro-4-nitrophenyl)-2-hydroxybenzamide--water (1/1),SIGMA-ALDRICH,36177-100MG,,
0,,,,555014,Tiadinil,Fungicide,223580-51-6,"2,670,233",VJQYLJSMBWXGDV-UHFFFAOYSA-N,"N-(3-Chloro-4-methylphenyl)-4-methyl-1,2,3-thiadiazole-5-carboximidic acid",SIGMA-ALDRICH,30698-100MG,CHEMBL1543783,CHEBI:81825
0,,,,555031,Pymetrozin Metabolite CGA313124,Insecticide,0,"2,330,913",,,SIGMA-ALDRICH,16806-10MG,,
